subcategory_id,name,tags,id,unit_id
54,Amandes au tamari samadhi sans gluten biologique,Amandes au tamari samadhi sans gluten biologique,90,1
88,Amandes blanches,Amandes blanches,91,1
162,Amandes brunes,"Amandes brunes, Amandes brune, Amande brune",92,1
132,Amandes crues sans gluten biologiques,Amandes crues sans gluten biologiques,95,1
88,Amandes _cal_es,Amandes _cal_es,96,1
88,Amandes effil_es,Amandes effil_es,97,1
162,Amandes grill_es,"Amandes grill_es, Amande grill_e",101,1
88,Amandes moulues,Amandes moulues,103,1
162,amandes roties,"amandes rotie, amandes roties, amande rotie",107,1
162,Amandes rs,Amandes rs,108,1
54,Amandes sal_es nirvana sans gluten biologique,Amandes sal_es nirvana sans gluten biologique,109,1
54,Amandine au sirop d'_rable sans gluten biologique,Amandine au sirop d'_rable sans gluten biologique,119,1
132,Amarante biologique,Amarante biologique,120,1
114,Ammoniaque tout-usage,Ammoniaque tout-usage,121,2
61,Amuse gueule,"Amuse gueule, AMUSE-GUEULE",122,1
6,Ananas,"Ananas, Ananas gold, Ananas dor_, Ananas dor_s, Ananas b_b_, Ananas b_b_s, Ananas d'or",123,4
83,Ananas biologique,"Ananas biologiques, Ananas biologique, Ananas bio",125,4
81,Ananas broy_ dans son jus,"Ananas broy_, Ananas broy_s",126,2
81,Ananas dans jus,Ananas dans jus,128,1
13,Ananas d_cortiqu_e,"Ananas d_cortiqu_e, Ananas d_cortiqu_es, Ananas en collation, Ananas en  morceaux, Ananas en petits morceaux, Ananas en petit morceau",129,1
162,Ananas en morceaux s_che,"Ananas en morceaux s_che, Ananas s_ch_e en morceaux, Ananas s_ch_es en morceaux, Ananas en morceau s_che, Ananas en morceaux s_ches, Ananas en morceaux s_ch_s",134,1
70,Ananas morceaux surgeler,"Ananas morceaux surgeler, Ananas morceaux surgel_s",138,1
81,Ananas tranch_,"Ananas tranch_, Ananas tranch_s",140,1
176,Aneth ,"Aneth, Aneths",143,1
74,Aneth en feuilles,Aneth en feuilles,144,1
132,Aneth en feuilles biologique,Aneth en feuilles biologique,145,1
74,Aneth en grains entiers,Aneth en grains,146,1
74,Anis _toil_,Anis _toil_,151,1
131,Anneau danois aux fraises,Anneau danois,152,1
7,Antipasto aux artichauts marin_s,Antipasto,155,1
13,Aprium ,"Aprium, Apriums",163,1
162,Arachides,"Arachides, Arachide",164,1
88,Arachides hach_es,"Arachides hach_es, Arachide hach_e",169,1
162,Arachides rªties,"Arachides rªties, Arachide rªtie, Arachides rªtie",172,1
13,Arilles ,"Arilles, Arille",177,1
83,Aromate Basilic biologique,Aromate Basilic biologique,178,1
179,Arªme liquide ,Arªme liquide ,179,2
97,Artichaut,"Artichauts, Artichaut",180,4
7,Artichauts marin_s,"Artichauts marin_s, Artichaut marin_",181,1
97,Asperges ,"Asperges, Asperge",182,1
83,Asperges biologiques,"Asperges biologiques, Asperge biologique, Asperges bio, Asperge bio, Asperges biologique",183,1
114,Assainiseur d'air,Assainiseur d'air,186,2
74,Assaisonnement ö bifteck,"Assaisonnement ö bifteck, Assaisonnement pour bifteck, Assaisonnement bifteck, Assaisonnement _pices ö bifteck, Assaisonnement m_lange pour bifteck",187,1
74,Assaisonnement ö bloody c_sar,"Assaisonnement ö bloody, Assaisonnement pour bloody",189,1
74,Assaisonnement ö couscous,"Assaisonnement ö couscous, Assaisonnement pour couscous",190,1
74,Assaisonnement ö l'ail,"Assaisonnement ö l'ail, Assaisonnement d'ail, Assaisonnement m_lange ö l'ail",191,1
74,Assaisonnement ö l'_rable,Assaisonnement ö l'_rable,195,1
74,Assaisonnement ö salade,"Assaisonnement ö salade, Assaisonnement pour salade",196,1
20,Assaisonnement adobo,Assaisonnement adobo,199,1
74,Assaisonnement au citron,"Assaisonnement au citron, Assaisonnement citron",201,1
